Item,Item Number,Arousal,Valence,Complexity,Pleasantness,Item Pairs,Pair Number,Relatedness
Alligator,1,65,-1.966666667,6.6,3.066666667,Toy truck and bloody baseball bat,1,1.433333333
Butcher,2,73.6,-3.6,7.3,1.866666667,Alarm clock and bloody axe,2,1.233333333
Bear,3,54.5,-0.633333333,6.066666667,4.533333333,Kettle and mummy,3,1.166666667
Spider,4,60.56666667,-2.133333333,6.4,2.533333333,Pot and skull,4,1.633333333
Creepy girl,5,74,-3.366666667,6.633333333,2.033333333,Weights and aligator,5,1.133333333
Wolf,6,53.56666667,-0.133333333,6.366666667,5.133333333,Laptop bag and cauldron,6,1.333333333
Scorpion,7,69.66666667,-2.866666667,6.5,2.1,Slipper and Butcher,7,1.533333333
Bat,8,70.7,-2.133333333,7.3,2.766666667,Toothbrush and Bear,8,1.133333333
Zombie,9,73,-3.433333333,7.533333333,2.4,Black hat and Scary mask,9,2.166666667
Snake,10,58.36666667,-2.366666667,4.933333333,2.433333333,Soap bottle and Goblin Trophy,10,1.1
Cockroach,11,74.46666667,-3.733333333,5.966666667,1.566666667,Telephone and Doll head,11,1.2
Lizard,12,67.43333333,-2.266666667,6.9,2.766666667,Suitcase and Guillotine,12,1.033333333
Bloody baseball bat,13,69.03333333,-2.7,4.133333333,2.666666667,Shampoo and Spider,13,1.066666667
Bloody Axe,14,62.06666667,-2.6,3.966666667,2.733333333,Balloon and Creepy girl,14,1.6
Mummy,15,64.6,-1.4,6.333333333,3.566666667,Pitcher and Wolf,15,1.133333333
Skull,16,83.46666667,-4.2,8.166666667,1.566666667,Hair dryer and Scorpion,16,1.066666667
Goblin Trophy,17,66.53333333,-2.633333333,7.5,2.7,Shoe and Mummy,17,1.933333333
Cauldron,18,61.9,-3.1,6.466666667,2.566666667,Plant and Bloody Chair,18,2.366666667
Clown mask,19,72.33333333,-3.266666667,6.5,2.233333333,Flashlight and Cockroach,19,2.233333333
Doll head,20,71.73333333,-3.333333333,5.6,1.666666667,Tire and Snake,20,1.4
Guillotine,21,79,-3.966666667,5.733333333,1.5,Compass and Barbed Wire,21,1.5
