1_Arousal_1,1_Valence_1,1_Complexity_1,1_Pleasantness_1,2_Arousal_1,2_Valence_1,2_Complexity_1,2_Pleasantness_1,3_Arousal_1,3_Valence_1,3_Complexity_1,3_Pleasantness_1,4_Arousal_1,4_Valence_1,4_Complexity_1,4_Pleasantness_1,5_Arousal_1,5_Valence_1,5_Complexity_1,5_Pleasantness_1,6_Arousal_1,6_Valence_1,6_Complexity_1,6_Pleasantness_1,7_Arousal_1,7_Valence_1,7_Complexity_1,7_Pleasantness_1,8_Arousal_1,8_Valence_1,8_Complexity_1,8_Pleasantness_1,9_Arousal_1,9_Valence_1,9_Complexity_1,9_Pleasantness_1,10_Arousal_1,10_Valence_1,10_Complexity_1,10_Pleasantness_1,11_Arousal_1,11_Valence_1,11_Complexity_1,11_Pleasantness_1,12_Arousal_1,12_Valence_1,12_Complexity_1,12_Pleasantness_1,13_Arousal_1,13_Valence_1,13_Complexity_1,13_Pleasantness_1,14_Arousal_1,14_Valence_1,14_Complexity_1,14_Pleasantness_1,15_Arousal_1,15_Valence_1,15_Complexity_1,15_Pleasantness_1,16_Arousal_1,16_Valence_1,16_Complexity_1,16_Pleasantness_1,17_Arousal_1,17_Valence_1,17_Complexity_1,17_Pleasantness_1,18_Arousal_1,18_Valence_1,18_Complexity_1,18_Pleasantness_1,19_Arousal_1,19_Valence_1,19_Complexity_1,19_Pleasantness_1,20_Arousal_1,20_Valence_1,20_Complexity_1,20_Pleasantness_1,21_Arousal_1,21_Valence_1,21_Complexity_1,21_Pleasantness_1,22_Arousal_1,22_Valence_1,22_Complexity_1,22_Pleasantness_1,23_Arousal_1,23_Valence_1,23_Complexity_1,23_Pleasantness_1,24_Arousal_1,24_Valence_1,24_Complexity_1,24_Pleasantness_1,25_Arousal_1,25_Valence_1,25_Complexity_1,25_Pleasantness_1,26_Arousal_1,26_Valence_1,26_Complexity_1,26_Pleasantness_1,27_Arousal_1,27_Valence_1,27_Complexity_1,27_Pleasantness_1,28_Arousal_1,28_Valence_1,28_Complexity_1,28_Pleasantness_1,29_Arousal_1,29_Valence_1,29_Complexity_1,29_Pleasantness_1,30_Arousal_1,30_Valence_1,30_Complexity_1,30_Pleasantness_1,31_Arousal_1,31_Valence_1,31_Complexity_1,31_Pleasantness_1,32_Arousal_1,32_Valence_1,32_Complexity_1,32_Pleasantness_1,33_Arousal_1,33_Valence_1,33_Complexity_1,33_Pleasantness_1,34_Arousal_1,34_Valence_1,34_Complexity_1,34_Pleasantness_1,35_Arousal_1,35_Valence_1,35_Complexity_1,35_Pleasantness_1,36_Arousal_1,36_Valence_1,36_Complexity_1,36_Pleasantness_1,37_Arousal_1,37_Valence_1,37_Complexity_1,37_Pleasantness_1,38_Arousal_1,38_Valence_1,38_Complexity_1,38_Pleasantness_1,39_Arousal_1,39_Valence_1,39_Complexity_1,39_Pleasantness_1,40_Arousal_1,40_Valence_1,40_Complexity_1,40_Pleasantness_1,41_Arousal_1,41_Valence_1,41_Complexity_1,41_Pleasantness_1,42_Arousal_1,42_Valence_1,42_Complexity_1,42_Pleasantness_1,43_Arousal_1,43_Valence_1,43_Complexity_1,43_Pleasantness_1,44_Arousal_1,44_Valence_1,44_Complexity_1,44_Pleasantness_1,45_Arousal_1,45_Valence_1,45_Complexity_1,45_Pleasantness_1,46_Arousal_1,46_Valence_1,46_Complexity_1,46_Pleasantness_1,47_Arousal_1,47_Valence_1,47_Complexity_1,47_Pleasantness_1,48_Arousal_1,48_Valence_1,48_Complexity_1,48_Pleasantness_1,49_Arousal_1,49_Valence_1,49_Complexity_1,49_Pleasantness_1,50_Arousal_1,50_Valence_1,50_Complexity_1,50_Pleasantness_1,51_Arousal_1,51_Valence_1,51_Complexity_1,51_Pleasantness_1,52_Arousal_1,52_Valence_1,52_Complexity_1,52_Pleasantness_1,53_Arousal_1,53_Valence_1,53_Complexity_1,53_Pleasantness_1,54_Arousal_1,54_Valence_1,54_Complexity_1,54_Pleasantness_1,55_Arousal_1,55_Valence_1,55_Complexity_1,55_Pleasantness_1,56_Arousal_1,56_Valence_1,56_Complexity_1,56_Pleasantness_1,57_Arousal_1,57_Valence_1,57_Complexity_1,57_Pleasantness_1,58_Arousal_1,58_Valence_1,58_Complexity_1,58_Pleasantness_1,59_Arousal_1,59_Valence_1,59_Complexity_1,59_Pleasantness_1,60_Arousal_1,60_Valence_1,60_Complexity_1,60_Pleasantness_1,61_Arousal_1,61_Valence_1,61_Complexity_1,61_Pleasantness_1,62_Arousal_1,62_Valence_1,62_Complexity_1,62_Pleasantness_1,63_Arousal_1,63_Valence_1,63_Complexity_1,63_Pleasantness_1,64_Arousal_1,64_Valence_1,64_Complexity_1,64_Pleasantness_1,65_Arousal_1,65_Valence_1,65_Complexity_1,65_Pleasantness_1,66_Arousal_1,66_Valence_1,66_Complexity_1,66_Pleasantness_1,67_Arousal_1,67_Valence_1,67_Complexity_1,67_Pleasantness_1,68_Arousal_1,68_Valence_1,68_Complexity_1,68_Pleasantness_1,69_Arousal_1,69_Valence_1,69_Complexity_1,69_Pleasantness_1,70_Arousal_1,70_Valence_1,70_Complexity_1,70_Pleasantness_1,71_Arousal_1,71_Valence_1,71_Complexity_1,71_Pleasantness_1,72_Arousal_1,72_Valence_1,72_Complexity_1,72_Pleasantness_1,73_Arousal_1,73_Valence_1,73_Complexity_1,73_Pleasantness_1,74_Arousal_1,74_Valence_1,74_Complexity_1,74_Pleasantness_1,75_Arousal_1,75_Valence_1,75_Complexity_1,75_Pleasantness_1,76_Arousal_1,76_Valence_1,76_Complexity_1,76_Pleasantness_1,77_Arousal_1,77_Valence_1,77_Complexity_1,77_Pleasantness_1,78_Arousal_1,78_Valence_1,78_Complexity_1,78_Pleasantness_1,79_Arousal_1,79_Valence_1,79_Complexity_1,79_Pleasantness_1,80_Arousal_1,80_Valence_1,80_Complexity_1,80_Pleasantness_1,81_Arousal_1,81_Valence_1,81_Complexity_1,81_Pleasantness_1,82_Arousal_1,82_Valence_1,82_Complexity_1,82_Pleasantness_1,83_Arousal_1,83_Valence_1,83_Complexity_1,83_Pleasantness_1,84_Arousal_1,84_Valence_1,84_Complexity_1,84_Pleasantness_1,85_Arousal_1,85_Valence_1,85_Complexity_1,85_Pleasantness_1,86_Arousal_1,86_Valence_1,86_Complexity_1,86_Pleasantness_1,87_Arousal_1,87_Valence_1,87_Complexity_1,87_Pleasantness_1,88_Arousal_1,88_Valence_1,88_Complexity_1,88_Pleasantness_1,90_Arousal_1,90_Valence_1,90_Complexity_1,90_Pleasantness_1,1_Object_Relatedness_1,2_Object_Relatedness_1,3_Object_Relatedness_1,4_Object_Relatedness_1,5_Object_Relatedness_1,6_Object_Relatedness_1,7_Object_Relatedness_1,8_Object_Relatedness_1,9_Object_Relatedness_1,10_Object_Relatedness_1,11_Object_Relatedness_1,12_Object_Relatedness_1,13_Object_Relatedness_1,14_Object_Relatedness_1,15_Object_Relatedness_1,16_Object_Relatedness_1,17_Object_Relatedness_1,18_Object_Relatedness_1,19_Object_Relatedness_1,20_Object_Relatedness_1,21_Object_Relatedness_1,22_Object_Relatedness_1,23_Object_Relatedness_1,24_Object_Relatedness_1,25_Object_Relatedness_1,26_Object_Relatedness_1,27_Object_Relatedness_1,28_Object_Relatedness_1,29_Object_Relatedness_1,30_Object_Relatedness_1,31_Object_Relatedness_1,32_Object_Relatedness_1,33_Object_Relatedness_1,34_Object_Relatedness_1,35_Object_Relatedness_1,36_Object_Relatedness_1,37_Object_Relatedness_1,38_Object_Relatedness_1,39_Object_Relatedness_1,40_Object_Relatedness_1,41_Object_Relatedness_1
76,-2,7,,96,-4,7,,31,1,4,,84,-3,9,,64,-3,8,,62,-2,7,,84,-4,9,,73,-3,8,,77,-2,7,,67,-2,4,,84,-4,8,,71,-3,8,,74,-4,8,,70,-2,7,,87,-1,7,,100,-4,9,,75,-2,7,,70,-2,7,,86,-3,8,,89,-3,8,,81,-3,8,,77,-3,7,,22,2,2,,10,3,2,,29,2,7,,70,1,6,,65,-1,4,,5,5,3,,33,3,2,,63,1,7,,40,-1,6,,40,-1,7,,35,2,7,,69,-1,7,,69,-1,6,,84,-3,7,,30,2,7,,19,2,2,,38,0,5,,37,1,3,,31,-1,1,,63,2,8,,26,2,2,,1,1,0,,67,2,8,,66,2,3,,68,-2,7,,72,-1,6,,9,3,1,,22,1,3,,37,2,3,,34,1,3,,21,2,3,,67,-1,7,,25,1,3,,12,2,2,,18,2,1,,19,2,3,,63,2,3,,16,2,1,,16,3,2,,41,-2,6,,31,2,7,,64,-1,3,,18,4,7,,33,2,6,,30,-3,6,,41,-1,6,,53,1,7,,38,1,6,,63,1,6,,34,-1,3,,64,1,4,,20,-1,3,,24,2,1,,9,2,0,,29,1,2,,66,-2,4,,76,-3,8,,8,2,1,,27,1,3,,72,-1,6,,33,-2,7,,57,3,8,,37,2,3,,63,-2,7,,37,-1,4,,25,2,6,,76,-2,7,,4,2,1,2,1,1,3,2,3,1,1,2,1,2,2,1,4,5,4,3,2,1,3,1,1,1,4,4,4,3,5,2,2,4,2,1,2,1,4,1,4
100,-4,6,2,100,-5,9,1,72,2,6,4,66,-4,7,2,100,-5,10,1,92,5,6,9,72,-2,4,2,91,-4,6,3,100,-5,8,1,74,-3,6,2,98,-5,5,2,85,-4,6,2,80,-4,6,2,72,-5,6,2,82,-1,7,3,100,-5,10,1,93,-5,10,1,96,-5,8,2,100,-4,7,1,100,-5,6,1,100,-5,9,1,90,-5,9,1,57,-1,6,2,75,-3,4,2,71,2,6,5,82,3,6,5,45,-1,6,3,10,2,7,5,83,3,6,8,72,3,5,6,9,1,7,5,76,4,6,8,61,-1,7,4,75,-3,6,4,81,3,7,8,80,-5,8,2,99,4,8,7,70,2,6,4,34,1,4,7,62,3,5,5,62,2,6,7,70,3,7,6,39,2,7,8,7,1,3,3,10,5,6,8,63,2,4,7,64,2,6,5,2,1,1,4,9,1,4,4,3,3,4,8,5,1,2,2,26,1,3,5,42,1,3,2,37,-1,2,4,57,1,2,7,45,1,2,5,9,1,2,4,24,2,5,4,71,3,6,8,20,1,2,3,11,-1,2,2,19,3,3,7,9,4,4,8,18,3,7,5,99,4,6,10,20,1,1,3,8,1,6,3,91,3,7,6,40,-1,4,2,9,-1,0,1,10,1,2,3,3,1,1,5,56,-1,3,2,30,-1,4,3,81,2,6,4,91,3,3,8,43,1,7,8,45,-1,3,2,54,1,10,4,0,4,1,9,32,-1,2,2,100,5,7,10,41,1,8,5,35,4,7,7,33,2,2,7,82,4,6,8,2,4,2,9,60,2,9,6,71,-4,5,2,1,1,3,5,2,1,1,1,4,1,1,1,1,4,3,1,3,1,2,1,2,4,1,1,4,1,1,3,4,4,4,1,1,3,4,4,4,1,1,2,1
56,-1,10,1,72,-5,10,1,73,4,10,9,65,-5,10,1,78,-5,7,1,74,3,10,10,69,-5,10,1,69,-5,10,1,66,-5,10,1,67,-2,7,1,64,-5,10,1,62,-3,9,1,88,1,2,10,39,0,3,3,61,0,3,3,0,-5,10,1,71,-5,10,1,73,-5,6,1,65,-5,10,1,74,-5,6,1,63,-5,3,1,30,0,4,4,0,3,8,4,39,-2,4,1,50,0,8,3,71,3,10,8,64,1,10,7,63,2,8,8,72,2,10,8,67,2,8,10,62,0,10,5,61,2,10,7,63,1,10,4,67,-1,8,3,82,3,10,8,64,-3,10,3,51,0,8,5,39,0,6,4,58,1,2,8,51,0,3,5,65,0,5,10,50,0,7,4,39,0,8,3,41,0,4,4,66,5,10,10,51,0,4,7,59,1,7,6,51,0,4,5,18,0,1,2,0,0,0,2,52,0,3,3,71,3,3,10,45,0,4,2,22,0,1,4,41,0,4,4,37,0,4,4,35,0,3,4,81,0,6,9,31,0,3,2,45,0,3,2,24,0,2,8,39,0,3,4,51,2,7,5,38,2,6,7,65,3,9,10,51,0,4,3,28,0,3,2,51,0,7,3,71,2,3,6,43,0,3,1,40,0,8,3,28,0,2,3,36,0,4,3,58,2,4,8,18,0,1,3,51,5,0,10,34,0,6,3,21,0,6,2,35,0,6,3,42,0,1,1,32,0,3,3,37,0,7,5,58,0,8,1,63,2,8,10,21,1,4,3,51,0,8,3,63,0,4,10,32,0,3,2,39,-2,3,1,2,3,2,1,2,3,1,4,4,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,1,2,4,4,3,5,2,1,3,1,2,1,2,2,2,1
38,-1,3,2,59,-2,6,4,37,1,6,7,43,-2,3,3,56,-2,4,4,33,-1,3,3,39,-1,4,2,43,-1,6,2,61,-1,6,2,45,-2,4,2,74,-2,4,2,22,-1,4,2,43,-3,3,2,64,-4,3,2,52,2,4,8,63,-3,7,2,53,-1,7,6,32,0,5,3,43,-3,7,3,46,-3,4,2,52,-4,3,2,44,-2,4,2,9,0,5,5,23,0,3,3,42,-1,4,3,19,2,4,7,20,0,3,4,52,1,4,9,41,2,3,6,21,1,4,6,37,0,4,5,25,1,7,6,29,-1,4,2,48,1,4,7,35,0,6,5,19,0,4,2,43,2,6,8,18,0,6,7,17,1,2,7,21,0,6,8,18,-1,8,6,34,3,4,8,49,0,6,6,23,0,2,2,27,1,5,8,11,0,2,7,23,2,7,8,0,0,1,4,22,0,2,4,17,0,1,7,0,0,1,1,30,-1,3,3,12,0,4,7,13,0,0,2,2,0,1,1,8,0,1,7,19,-2,1,3,21,0,1,2,21,2,1,9,9,0,1,3,15,-1,1,2,13,1,2,7,17,1,2,8,29,0,7,8,22,-1,2,6,12,0,3,5,10,1,3,5,19,1,5,7,19,0,1,6,2,0,1,2,3,0,1,5,7,-1,1,4,4,0,0,5,11,0,1,5,19,0,2,4,3,0,1,6,6,-1,2,8,31,0,3,2,7,0,4,7,9,0,1,8,4,0,1,2,16,1,6,8,18,0,6,5,30,1,7,9,9,0,3,8,46,0,7,4,15,0,3,7,20,0,3,8,34,-1,4,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,2,2
51,-2,8,4,74,-3,9,2,2,0,8,7,31,0,5,4,100,-5,9,1,20,1,8,6,97,-4,9,1,91,-3,9,2,43,-1,9,6,0,-2,4,4,99,-5,8,1,100,-4,9,3,99,-5,6,2,63,-3,6,3,77,2,9,7,100,-5,9,1,56,-2,7,4,42,-2,10,5,79,-3,8,3,78,-2,9,4,86,-3,7,3,96,-5,9,2,43,0,8,6,2,0,6,5,4,0,9,7,70,2,9,8,77,-3,9,2,1,0,7,5,40,-1,7,6,60,4,8,8,1,0,9,6,13,1,8,5,64,-1,7,5,69,1,9,6,52,1,9,5,73,-3,8,6,81,2,6,5,2,2,9,5,0,2,9,7,14,1,6,5,1,0,5,6,8,1,7,6,75,3,8,6,2,2,9,6,87,3,9,9,0,0,7,5,78,2,10,7,1,0,1,3,1,-1,2,6,0,0,1,6,0,0,0,6,3,0,6,5,1,1,1,6,0,0,0,6,1,1,1,5,1,0,0,4,3,0,0,3,19,2,3,4,0,2,1,7,1,0,1,6,0,0,0,10,2,0,1,6,1,0,3,6,2,0,8,5,8,0,5,3,10,0,6,3,0,0,7,6,51,2,9,7,11,0,0,2,1,0,0,10,1,0,1,6,0,0,0,1,0,0,1,5,1,0,1,6,0,0,0,6,0,0,0,1,0,0,1,6,1,0,1,6,7,0,9,7,0,0,0,7,1,0,1,6,7,2,8,8,20,0,9,6,79,4,8,9,0,0,4,6,0,0,9,6,0,2,6,6,87,2,8,7,67,-2,6,5,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,3,4,1,3,3,1,3,3,1,2,4,5,5,5,1,1,4,1,1,4,2,1,1,2
71,-3,3,2,82,-5,6,1,30,0,3,3,92,-5,6,1,81,-5,3,1,61,-3,6,3,61,-4,1,2,71,-3,6,1,77,-4,6,1,59,-3,2,2,72,-5,5,1,73,-3,4,2,61,-5,2,1,71,-5,3,2,92,-5,7,1,82,-4,7,1,92,-5,9,1,71,-5,3,1,81,-5,5,1,90,-5,5,1,71,-5,6,1,62,-5,5,1,62,-4,3,2,9,0,1,4,70,-4,6,1,40,0,5,5,70,-5,5,1,60,-2,6,3,81,-5,6,1,61,-4,3,1,61,-4,5,2,29,0,3,2,62,-3,3,3,55,-2,4,2,44,-1,6,5,74,-4,2,2,30,4,6,8,43,-1,7,2,0,0,3,5,30,0,6,5,61,-3,3,1,42,2,6,6,70,4,6,9,10,-1,4,3,20,3,2,6,29,0,3,3,29,-1,6,3,9,0,1,2,25,0,2,3,10,0,0,5,21,0,1,4,41,0,5,5,20,-2,3,4,20,-1,2,3,32,0,3,4,19,0,2,5,19,0,2,5,30,0,1,5,71,4,1,9,29,0,2,4,0,0,0,5,72,2,8,8,0,0,3,5,50,0,4,6,19,3,3,8,32,0,3,5,9,0,3,3,72,2,8,8,29,-4,1,3,18,-1,0,3,0,0,3,3,0,0,1,4,0,0,0,5,60,-4,2,2,7,0,3,5,20,0,0,5,9,0,3,3,60,-3,4,3,0,-2,4,4,19,0,0,5,30,0,2,3,82,5,4,10,8,0,4,1,62,4,9,8,29,0,3,5,61,-3,6,2,18,2,3,7,18,1,8,5,58,-2,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,2,2,3,1,1,2,4,4,5,1,3,1,1,1,3,1,1,1,2
80,-2,8,5,70,-2,7,2,60,-1,5,3,80,-2,7,3,85,-3,8,2,60,-1,6,6,85,-2,8,3,80,-2,9,2,85,-4,9,2,40,-1,5,4,45,-2,6,2,75,-2,7,4,70,-2,6,3,90,-3,7,3,70,-2,8,3,100,-4,10,3,90,-4,9,2,75,-3,8,3,70,-2,7,3,80,-4,7,2,78,-3,7,2,60,-2,9,2,80,3,7,7,10,0,4,4,39,2,8,8,60,1,5,5,60,2,7,5,80,4,9,9,70,3,6,7,60,2,6,7,70,3,9,8,50,1,6,7,40,2,4,6,65,3,6,6,70,2,8,8,70,-1,8,4,40,2,7,5,60,2,7,6,20,1,5,7,20,1,4,4,40,1,7,4,30,2,7,7,60,4,6,5,30,1,5,5,62,3,7,8,60,2,5,6,30,2,7,6,40,1,3,5,25,0,4,5,20,2,2,5,5,0,2,5,40,1,5,8,40,2,6,6,30,0,2,4,30,3,4,6,40,2,3,6,0,0,0,2,24,1,3,5,20,2,3,7,0,0,0,3,30,2,1,6,10,0,3,5,30,1,5,4,70,2,8,8,30,2,4,5,20,1,5,6,10,0,6,3,30,2,7,5,10,-1,3,3,10,0,2,4,40,1,5,6,20,-1,2,2,5,0,1,4,10,1,2,5,11,0,2,5,0,0,1,3,5,0,2,3,15,0,1,4,35,1,6,5,0,0,0,5,0,0,1,3,30,-1,4,4,80,3,9,7,60,2,8,7,40,2,4,6,41,-1,5,4,30,3,4,6,40,3,9,7,20,-1,6,3,2,1,2,3,2,2,1,1,4,1,2,1,1,4,1,1,2,4,4,1,2,2,1,1,4,2,1,2,3,5,5,2,1,2,2,2,4,2,2,2,4
82,-2,6,4,84,-5,7,1,62,-2,7,4,62,-2,4,2,86,-2,6,2,71,2,4,8,93,-4,7,1,70,-2,6,3,73,-3,6,2,73,-2,6,2,95,-5,5,1,81,-3,6,3,91,-4,2,1,80,-4,2,1,66,1,2,5,92,-5,7,1,63,-2,6,2,81,-4,7,2,75,-2,2,1,86,-5,3,1,85,-5,4,1,83,-3,4,1,70,0,8,5,51,-2,2,2,68,-2,6,2,65,2,6,8,65,-2,6,3,52,2,7,7,72,2,6,7,67,2,4,8,45,0,3,5,37,0,3,5,36,1,4,6,68,-1,6,4,64,2,7,6,67,-1,7,5,62,4,7,10,78,2,6,9,22,0,1,6,21,2,6,8,27,-1,1,4,23,2,6,8,84,4,10,9,9,0,1,6,20,3,6,9,10,2,6,8,73,3,9,9,31,0,6,4,27,0,2,5,18,2,2,9,36,0,6,5,73,3,3,7,62,3,6,8,3,2,0,8,24,2,0,7,15,0,4,7,18,1,0,5,52,0,3,6,22,0,2,4,4,0,5,6,35,2,1,7,21,0,1,5,20,1,7,7,48,2,3,6,19,5,6,10,21,0,2,5,25,0,4,6,80,4,9,10,26,2,5,7,8,0,3,4,25,0,2,6,6,0,1,6,29,1,8,7,42,2,1,7,18,0,2,4,9,0,0,6,13,1,7,7,30,-1,1,4,61,1,7,7,28,1,1,7,14,1,1,6,32,3,7,9,72,0,7,5,88,5,9,9,30,0,3,5,60,1,7,7,14,4,8,10,59,1,5,5,30,-2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,1,1,1,1,1,2,1,1,2,5,5,3,1,1,1,2,2,4,1,1,1,1
100,-4,10,2,100,-5,4,1,83,0,10,5,83,-3,3,1,90,-4,4,1,100,-2,10,3,100,-5,10,1,100,-5,10,1,100,-5,6,1,100,-5,9,1,100,-5,10,1,100,-4,10,2,92,-4,3,2,100,-5,3,1,91,-3,4,3,100,-5,4,1,100,-5,6,1,90,-5,4,1,100,-5,6,1,100,-5,4,1,100,-5,7,1,65,-2,3,3,80,-2,3,3,21,-1,2,3,100,-3,10,1,73,-2,9,4,100,-3,7,2,78,3,5,9,75,1,10,5,60,2,10,7,43,-1,2,4,70,2,10,8,79,-2,10,4,42,0,8,5,82,-3,10,4,91,-1,10,4,8,-1,4,5,1,0,0,7,4,-1,2,3,0,3,5,8,23,-3,1,2,56,2,7,7,35,4,10,8,22,-3,1,2,1,5,7,10,2,0,2,6,20,-2,5,4,27,-3,8,4,70,-2,3,2,26,4,2,8,0,0,0,6,41,-2,2,3,24,3,4,8,0,2,0,8,3,0,1,5,1,0,0,5,1,0,2,6,0,-3,6,3,58,3,4,9,0,0,0,6,0,2,0,7,0,0,0,5,15,-2,4,4,54,0,4,5,11,3,3,9,1,0,6,6,68,-1,3,3,27,-2,8,4,3,4,4,9,0,0,1,5,0,0,0,5,0,0,0,3,21,-2,1,3,14,-3,0,2,63,2,2,8,1,3,0,7,18,0,9,4,27,-3,1,3,50,0,7,6,0,0,0,7,0,0,0,6,79,-2,3,4,100,-3,4,2,5,0,9,5,6,0,1,8,60,2,6,7,2,0,5,6,83,3,6,7,65,-2,1,2,3,2,1,5,2,1,1,2,2,2,3,1,2,2,2,2,1,5,4,3,2,2,3,1,2,2,1,4,5,3,3,4,2,3,3,1,2,2,4,1,4
0,0,8,5,0,0,6,4,0,0,5,5,9,-2,7,4,0,0,5,1,0,0,5,6,0,-1,3,3,29,0,6,6,0,-5,2,1,0,0,5,1,13,-4,0,1,20,0,8,4,30,1,5,2,19,0,6,5,0,0,5,5,28,1,9,4,0,0,5,2,19,0,5,4,11,0,4,5,19,0,7,4,40,-2,9,4,25,-3,1,1,0,0,5,1,0,0,5,5,0,-5,0,1,0,0,5,1,10,-4,0,1,0,0,6,3,17,3,8,6,0,0,5,1,0,0,5,5,0,0,6,1,0,-1,4,5,0,0,5,6,18,2,7,7,19,1,9,6,0,0,5,5,0,0,5,5,0,0,5,1,0,0,5,5,0,0,5,3,0,0,5,5,15,-1,10,3,0,0,5,1,37,2,5,4,16,3,10,8,0,0,2,1,0,0,3,4,0,0,5,1,0,0,5,5,0,0,5,5,0,0,5,1,19,-3,5,2,21,-2,5,3,0,0,5,5,0,0,5,1,0,0,0,2,20,0,6,3,0,0,5,4,0,0,5,1,0,0,5,1,0,0,3,1,0,0,5,6,0,0,5,5,30,3,5,10,0,0,5,6,0,0,5,1,0,0,6,1,40,0,5,5,0,0,5,5,0,0,5,1,0,0,4,1,0,0,5,4,0,0,5,1,0,0,0,1,0,-2,0,1,1,-1,4,3,0,0,0,5,0,0,1,4,0,0,3,5,0,0,5,5,0,0,5,4,1,0,5,6,34,1,10,10,0,0,5,1,0,0,5,1,10,3,7,1,18,2,8,4,0,0,5,5,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,3,1,1,1,3,1,1,2,3,1,3,1,1
